symboltokens for BANKNIFTY FNO options
Strike     Type  Token           Symbol
------------------------------------------------------------
5950000    CE    60229           BANKNIFTY24FEB2659500CE
5950000    PE    60230           BANKNIFTY24FEB2659500PE
5960000    CE    60233           BANKNIFTY24FEB2659600CE
5960000    PE    60234           BANKNIFTY24FEB2659600PE
5970000    CE    60237           BANKNIFTY24FEB2659700CE
5970000    PE    60238           BANKNIFTY24FEB2659700PE
5980000    CE    60239           BANKNIFTY24FEB2659800CE
5980000    PE    60240           BANKNIFTY24FEB2659800PE
5990000    CE    60241           BANKNIFTY24FEB2659900CE
5990000    PE    60242           BANKNIFTY24FEB2659900PE
6000000    CE    60243           BANKNIFTY24FEB2660000CE
6000000    PE    60244           BANKNIFTY24FEB2660000PE
6010000    CE    60245           BANKNIFTY24FEB2660100CE
6010000    PE    60246           BANKNIFTY24FEB2660100PE
6020000    CE    60247           BANKNIFTY24FEB2660200CE
6020000    PE    60248           BANKNIFTY24FEB2660200PE
6030000    CE    60249           BANKNIFTY24FEB2660300CE
6030000    PE    60250           BANKNIFTY24FEB2660300PE
6040000    CE    60251           BANKNIFTY24FEB2660400CE
6040000    PE    60252           BANKNIFTY24FEB2660400PE
6050000    CE    60253           BANKNIFTY24FEB2660500CE
6050000    PE    60254           BANKNIFTY24FEB2660500PE
6060000    CE    60255           BANKNIFTY24FEB2660600CE
6060000    PE    60256           BANKNIFTY24FEB2660600PE
6070000    CE    60257           BANKNIFTY24FEB2660700CE
6070000    PE    60258           BANKNIFTY24FEB2660700PE
6080000    CE    60262           BANKNIFTY24FEB2660800CE
6080000    PE    60263           BANKNIFTY24FEB2660800PE
6090000    CE    60265           BANKNIFTY24FEB2660900CE
6090000    PE    60267           BANKNIFTY24FEB2660900PE
6100000    CE    60268           BANKNIFTY24FEB2661000CE
6100000    PE    60269           BANKNIFTY24FEB2661000PE
6110000    CE    60270           BANKNIFTY24FEB2661100CE
6110000    PE    60272           BANKNIFTY24FEB2661100PE
6120000    CE    60273           BANKNIFTY24FEB2661200CE
6120000    PE    60284           BANKNIFTY24FEB2661200PE
6130000    CE    60285           BANKNIFTY24FEB2661300CE
6130000    PE    60288           BANKNIFTY24FEB2661300PE
6140000    CE    60289           BANKNIFTY24FEB2661400CE
6140000    PE    60329           BANKNIFTY24FEB2661400PE
6150000    CE    60330           BANKNIFTY24FEB2661500CE
6150000    PE    60343           BANKNIFTY24FEB2661500PE
